Nom,CodeInsee,Code postal,Arrondissement,Canton,Intercommunalité,Superficie(km2),Population(dernière pop. légale),Densité(hab./km2),Modifier
Bazoges-en-Paillers,85013,85130,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"11,45",1 551 (2022),135,NA
Bazoges-en-Pareds,85014,85390,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"33,83",1 161 (2022),34,NA
Beaufou,85015,85170,La Roche-sur-Yon,Aizenay,CC de Vie-et-Boulogne,"29,06",1 654 (2022),57,NA
Beaulieu-sous-la-Roche,85016,85190,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"25,47",2 366 (2022),93,NA
Beaurepaire,85017,85500,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays des Herbiers,"24,19",2 406 (2022),99,NA
Beauvoir-sur-Mer,85018,85230,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC Challans-Gois-Communauté,"35,19",3 955 (2022),112,NA
Bellevigny,85019,85170,La Roche-sur-Yon,Aizenay,CC de Vie-et-Boulogne,"38,52",6 239 (2022),162,NA
Benet,85020,85490,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"50,01",4 059 (2022),81,NA
Le Bernard,85022,85560,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"27,37",1 320 (2022),48,NA
Bessay,85023,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"10,79",449 (2022),42,NA
Bois-de-Céné,85024,85710,Les Sables-d'Olonne,Challans,CC Challans-Gois-Communauté,"41,89",2 215 (2022),53,NA
La Boissière-de-Montaigu,85025,85600,La Roche-sur-Yon,Montaigu-Vendée,"CA Terres de Montaigu, communauté d'agglomération","29,10",2 295 (2022),79,NA
La Boissière-des-Landes,85026,85430,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"23,74",1 465 (2022),62,NA
Bouillé-Courdault,85028,85420,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"9,73",595 (2022),61,NA
Bouin,85029,85230,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC Challans-Gois-Communauté,"51,31",2 169 (2022),42,NA
Le Boupère,85031,85510,Fontenay-le-Comte,Chantonnay,CC du Pays-de-Pouzauges,"43,48",3 170 (2022),73,NA
Bourneau,85033,85200,Fontenay-le-Comte,La Châtaigneraie,CC Pays-de-Fontenay-Vendée,"16,36",717 (2022),44,NA
Bournezeau,85034,85480,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Chantonnay,"60,49",3 471 (2022),57,NA
Brem-sur-Mer,85243,85470,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"15,85",2 933 (2022),185,NA
Bretignolles-sur-Mer,85035,85470,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"27,32",5 139 (2022),188,NA
La Bretonnière-la-Claye,85036,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"16,48",587 (2022),36,NA
Les Brouzils,85038,85260,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"41,25",2 916 (2022),71,NA
La Bruffière,85039,85530,La Roche-sur-Yon,Mortagne-sur-Sèvre,"CA Terres de Montaigu, communauté d'agglomération","40,42",4 015 (2022),99,NA
La Caillère-Saint-Hilaire,85040,85410,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"15,28",1 100 (2022),72,NA
Chaillé-les-Marais,85042,85450,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"39,96",1 909 (2022),48,NA
La Chaize-Giraud,85045,85220,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"2,71",1 103 (2022),407,NA
La Chaize-le-Vicomte,85046,85310,La Roche-sur-Yon,La Roche-sur-Yon-2,CA La Roche-sur-Yon - Agglomération,"49,51",3 883 (2022),78,NA
Challans,85047,85300,Les Sables-d'Olonne,Challans,CC Challans-Gois-Communauté,"64,84",22 890 (2022),353,NA
Le Champ-Saint-Père,85050,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"24,67",2 041 (2022),83,NA
Champagné-les-Marais,85049,85450,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"49,82",1 816 (2022),36,NA
Chantonnay,85051,85110,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Chantonnay,"82,91",8 518 (2022),103,NA
Chanverrie,85302,8513085500,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"59,21",5 580 (2022),94,NA
La Chapelle-Hermier,85054,85220,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"17,94",1 083 (2022),60,NA
La Chapelle-Palluau,85055,85670,La Roche-sur-Yon,Challans,CC de Vie-et-Boulogne,"13,01",1 108 (2022),85,NA
La Chapelle-Thémer,85056,85210,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"15,10",394 (2022),26,NA
Chasnais,85058,85400,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"10,77",792 (2022),74,NA
La Châtaigneraie,85059,85120,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"7,94",2 590 (2022),326,NA
Château-Guibert,85061,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"35,16",1 550 (2022),44,NA
